SimulationYear,CalendarYear,IgnitionAttempts,Fires,LightningFires,AccidentalFires,CellsBurned,AreaBurnedHa,LargestFireHa,FractionHighSeverity,FractionCrownFire,FirstFireDay,LastFireDay,BiomassKilledMg,ConsumptionMg,PM25Mg,CO2Mg,FiresContained,MeanFWI,MaxFWI,seed
135,1991,1,1,1,0,1,0.8,0.8,0,0,181,181,9,30,0.6,45,0,3.9,25.7,6666
136,1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.8,29.6,6666
137,1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.1,30.2,6666
138,1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.5,43.2,6666
139,1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,35.8,6666
140,1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.4,25.2,6666
141,1991,1,1,0,1,1,0.8,0.8,0,0,300,300,27,40,0.9,60,0,5.1,46.9,6666
142,1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7,25.9,6666
143,1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.9,25.7,6666
144,1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.5,32.5,6666
145,1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.2,38.2,6666
146,1991,1,1,0,1,4,3.2,3.2,0.25,1,243,243,487,251,5,382,1,3.9,25.7,6666
147,1991,1,1,0,1,1,0.8,0.8,0,0,123,123,7,33,0.7,50,1,7.8,29.6,6666
148,1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7,19.9,6666
149,1991,2,2,1,1,2,1.6,0.8,0,0,140,222,30,36,0.8,54,1,4.6,25.3,6666
150,1991,1,1,1,0,1,0.8,0.8,0,0,242,242,1,16,0.4,23,1,5.3,26.5,6666
151,1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.6,21.8,6666
152,1991,2,2,1,1,2,1.6,0.8,0,1,158,167,37,50,1,76,2,6.5,32.5,6666
153,1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.8,28.5,6666
154,1991,1,1,1,0,1,0.8,0.8,0,0,229,229,0,6,0.2,9,0,3.1,25.6,6666
155,1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.4,18.3,6666
156,1991,1,1,0,1,1,0.8,0.8,0,1,159,159,48,22,0.4,35,1,3.7,21.3,6666
157,1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.8,34.1,6666
158,1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.6,33.7,6666
159,1991,1,1,0,1,1,0.8,0.8,0,0,193,193,0,6,0.1,8,0,6.8,34.1,6666
160,1991,1,1,1,0,1,0.8,0.8,0,0,273,273,15,26,0.6,38,0,4.6,21.8,6666
