EventID,SimulationYear,CalendarYear,Cause,IgnitionDay,IgnitionRow,IgnitionColumn,Ecoregion,IgnitionFWI,DaysActive,EndDay,EndReason,Cells,AreaHa,MeanRos,MaxRos,MeanIntensity,MaxIntensity,MaxFlameLength,FractionSurface,FractionPassive,FractionActive,MeanCanopyMortality,FractionHighSeverity,CohortsKilled,CohortsPartial,BiomassKilledMg,ConsumptionMg,SurfaceConsumptionMg,DuffConsumptionMg,CanopyConsumptionMg,PM25Mg,CO2Mg,PeakDay,PeakDayFWI,seed
49,71,2017,Accidental,100,411,425,eco16,0.6,1,100,Unsustained,1,0.8,0,0,0,0,0,1,0,0,0.04,0,0,23,14.1,16.7,16.7,0,0,0.33,25.5,0,0,4444
50,76,2017,Accidental,201,344,390,eco14,12.1,1,201,InitialAttack,1,0.8,0.14,0.14,33,33,0.4,1,0,0,0.03,0,0,9,4.9,22.9,22.9,0,0,0.5,34.3,0,0,4444
51,78,2017,Accidental,221,322,328,eco45,4.8,1,221,Unsustained,1,0.8,0,0,0,0,0,1,0,0,0,0,0,0,0,4.3,4.3,0,0,0.11,6.1,0,0,4444
52,80,2017,Accidental,271,411,396,eco164,0,1,271,Unsustained,1,0.8,0,0,0,0,0,1,0,0,0,0,0,0,0,3.8,3.8,0,0,0.1,5.4,0,0,4444
53,83,1996,Accidental,19,404,422,eco110,0,1,19,Unsustained,1,0.8,0,0,0,0,0,1,0,0,0.13,0,0,13,6,14.5,14.5,0,0,0.35,21.1,0,0,5555
54,83,1996,Accidental,182,343,425,eco14,5.2,1,182,Unsustained,1,0.8,0,0,0,0,0,1,0,0,0,0,0,4,1,19.7,19.7,0,0,0.43,29.4,0,0,5555
55,84,1996,Accidental,17,352,428,eco14,0,1,17,Unsustained,1,0.8,0,0,0,0,0,1,0,0,0.02,0,0,19,7.7,27.5,27.5,0,0,0.55,41.9,0,0,5555
56,84,1996,Accidental,233,333,437,eco12,27.5,11,243,Weather,922,746.8,5.27,38.92,4734,49788,36,0.11,0.85,0.04,0.5,0.45,5719,13768,85623.6,50580.5,31155.4,8905.4,10519.8,1065.29,76106.6,241,42.7,5555
57,84,1996,Accidental,234,361,413,eco109,36.6,26,259,Weather,5315,4305.2,4.74,40.88,3616,50405,36.3,0.18,0.8,0.02,0.48,0.45,27900,74167,396370.1,274084.3,175104.6,53737.5,45242.2,5961.69,409162.7,257,26.6,5555
58,86,1996,Accidental,278,364,436,eco100,0.2,1,278,Unsustained,1,0.8,0,0,0,0,0,1,0,0,0,0,0,0,0,23.3,18.3,5,0,0.6,33.2,0,0,5555
